date,asset,style,holding,total_return,cagr,max_drawdown,sharpe,trades
2026-08-03,SPY,Long-term buy & hold,years,2.3781,0.1452,-0.3379,0.861,1
2026-08-03,SPY,Position momentum (126d / ~2 quarters),months,1.0857,0.0853,-0.2296,0.744,55
2026-08-03,SPY,Long-term trend filter (200d),weeks-months,1.5011,0.1075,-0.2068,0.946,45
2026-08-03,SPY,Swing crossover (20/50),days-weeks,1.0571,0.0836,-0.2924,0.755,39
2026-08-03,SPY,Swing mean-reversion (RSI-2 dip),days,0.2285,0.0232,-0.1938,0.32,373
2026-08-03,SPY,Vol-targeted (15%),dynamic,2.0457,0.132,-0.1899,1.051,818
2026-08-03,QQQ,Long-term buy & hold,years,4.0508,0.1976,-0.35,0.924,1
2026-08-03,QQQ,Position momentum (126d / ~2 quarters),months,2.5394,0.1511,-0.3268,0.925,29
2026-08-03,QQQ,Long-term trend filter (200d),weeks-months,2.8295,0.1613,-0.2288,1.009,35
2026-08-03,QQQ,Swing crossover (20/50),days-weeks,1.65,0.1146,-0.2681,0.773,41
2026-08-03,QQQ,Swing mean-reversion (RSI-2 dip),days,0.6279,0.0558,-0.2366,0.485,347
2026-08-03,QQQ,Vol-targeted (15%),dynamic,3.0204,0.1676,-0.2142,1.148,1369
2026-08-03,TQQQ,Long-term buy & hold,years,17.8799,0.387,-0.8166,0.832,1
2026-08-03,TQQQ,Position momentum (126d / ~2 quarters),months,10.3693,0.3109,-0.6965,0.824,45
2026-08-03,TQQQ,Long-term trend filter (200d),weeks-months,19.7199,0.4015,-0.5007,0.982,31
2026-08-03,TQQQ,Swing crossover (20/50),days-weeks,1.8386,0.1232,-0.7388,0.487,43
2026-08-03,TQQQ,Swing mean-reversion (RSI-2 dip),days,1.5478,0.1098,-0.6269,0.475,331
2026-08-03,TQQQ,Vol-targeted (15%),dynamic,3.3074,0.1766,-0.233,1.051,2242
